time,seconds_elapsed,dBFS
1682632278731000000,0.001,-160
1682632278804000000,0.074,-160
1682632278923000000,0.193,-160
1682632279038000000,0.308000244140625,-160
1682632279157000000,0.427,-160
1682632279274000000,0.543999755859375,-138
1682632279391000000,0.661,-130
1682632279510000000,0.780000244140625,-108
1682632279627000000,0.897,-102
1682632279742000000,1.012000244140625,-99
1682632279860000000,1.13,-96
1682632279976000000,1.246,-101
1682632280092000000,1.362,-99
1682632280210000000,1.479999755859375,-117
1682632280328000000,1.598,-120
1682632280444000000,1.714,-113
1682632280562000000,1.831999755859375,-113
1682632280678000000,1.948000244140625,-111
1682632280795000000,2.065,-113
1682632280912000000,2.182,-110
1682632281029000000,2.299,-101
1682632281148000000,2.418,-108
1682632281263000000,2.533,-109
1682632281380000000,2.65,-112
1682632281498000000,2.767999755859375,-103
1682632281615000000,2.885,-105
1682632281731000000,3.001,-101
1682632281848000000,3.118,-90
1682632281965000000,3.235,-91
1682632282082000000,3.351999755859375,-107
1682632282199000000,3.469,-97
1682632282316000000,3.586,-108
1682632282433000000,3.703,-95
1682632282554000000,3.823999755859375,-84
1682632282670000000,3.940000244140625,-77
1682632282786000000,4.055999755859375,-77
1682632282902000000,4.172000244140625,-121
1682632283022000000,4.292000244140625,-102
1682632283137000000,4.407,-117
1682632283254000000,4.524000244140625,-111
1682632283377000000,4.647,-109
1682632283489000000,4.759,-103
1682632283601000000,4.871,-111
1682632283705000000,4.975,-119
1682632283821000000,5.091,-115
1682632283938000000,5.207999755859375,-109
1682632284055000000,5.325,-103
1682632284172000000,5.442,-91
1682632284290000000,5.559999755859375,-88
1682632284407000000,5.677,-79
1682632284524000000,5.794,-82
1682632284641000000,5.911,-91
1682632284758000000,6.028000244140625,-99
1682632284875000000,6.145,-97
1682632284992000000,6.262,-93
1682632285109000000,6.379,-90
1682632285226000000,6.495999755859375,-90
1682632285344000000,6.614,-96
1682632285460000000,6.73,-102
1682632285578000000,6.847999755859375,-108
1682632285697000000,6.967,-95
1682632285813000000,7.083,-85
1682632285931000000,7.201,-80
1682632286049000000,7.319,-73
1682632286168000000,7.438,-78
1682632286285000000,7.555,-107
1682632286401000000,7.671,-97
1682632286520000000,7.79,-107
1682632286635000000,7.905,-91
1682632286753000000,8.023,-88
1682632286872000000,8.142,-88
1682632286989000000,8.259,-106
1682632287107000000,8.377,-105
1682632287221000000,8.491,-115
1682632287339000000,8.609,-86
1682632287457000000,8.727,-87
1682632287572000000,8.842,-84
1682632287688000000,8.958,-89
1682632287807000000,9.077,-90
1682632287923000000,9.193,-98
1682632288039000000,9.309,-101
1682632288157000000,9.427,-103
