time,seconds_elapsed,dBFS
1682626138302000000,0.001000244140625,-160
1682626138386000000,0.084999755859375,-160
1682626138504000000,0.203,-160
1682626138623000000,0.322,-160
1682626138740000000,0.439,-160
1682626138857000000,0.556,-78
1682626138977000000,0.676,-58
1682626139092000000,0.791,-55
1682626139209000000,0.908,-56
1682626139326000000,1.025000244140625,-55
1682626139445000000,1.144,-53
1682626139562000000,1.260999755859375,-56
1682626139677000000,1.376,-49
1682626139794000000,1.492999755859375,-51
1682626139911000000,1.61,-55
1682626140028000000,1.727,-52
1682626140147000000,1.846,-52
1682626140264000000,1.963,-49
1682626140381000000,2.08,-51
1682626140500000000,2.199,-56
1682626140613000000,2.312,-51
1682626140730000000,2.428999755859375,-52
1682626140848000000,2.547,-56
1682626140965000000,2.664,-54
1682626141083000000,2.782,-49
1682626141199000000,2.898,-56
1682626141316000000,3.015,-53
1682626141435000000,3.134,-51
1682626141551000000,3.25,-54
1682626141668000000,3.367,-54
1682626141785000000,3.484,-49
1682626141902000000,3.601000244140625,-55
1682626142020000000,3.719,-53
1682626142139000000,3.838,-50
1682626142253000000,3.952,-50
1682626142371000000,4.07,-52
1682626142488000000,4.187,-51
1682626142603000000,4.302,-50
1682626142720000000,4.419,-50
1682626142840000000,4.539,-55
1682626142955000000,4.654,-53
1682626143073000000,4.772,-53
1682626143194000000,4.892999755859375,-50
1682626143307000000,5.006,-27
1682626143424000000,5.123,-32
1682626143543000000,5.242,-35
1682626143659000000,5.358,-37
1682626143774000000,5.473000244140625,-40
1682626143892000000,5.591,-71
1682626144009000000,5.708,-92
1682626144139000000,5.838,-113
1682626144244000000,5.943,-55
1682626144363000000,6.062,-41
1682626144482000000,6.180999755859375,-39
1682626144596000000,6.295,-39
1682626144712000000,6.411,-39
1682626144830000000,6.529000244140625,-37
1682626144948000000,6.647,-91
1682626145064000000,6.763,-111
1682626145182000000,6.881000244140625,-130
1682626145302000000,7.001000244140625,-44
1682626145416000000,7.115,-44
1682626145532000000,7.231,-42
1682626145650000000,7.348999755859375,-41
1682626145767000000,7.466,-39
1682626145885000000,7.584,-83
1682626146003000000,7.702,-95
1682626146121000000,7.82,-132
1682626146235000000,7.934,-135
1682626146352000000,8.051,-43
1682626146470000000,8.169000244140625,-42
1682626146586000000,8.284999755859374,-41
1682626146703000000,8.402,-41
1682626146821000000,8.52,-34
1682626146939000000,8.638,-94
1682626147054000000,8.753000244140624,-102
1682626147170000000,8.868999755859376,-133
1682626147289000000,8.988,-45
1682626147406000000,9.105000244140625,-44
1682626147524000000,9.223,-42
1682626147646000000,9.345000244140625,-41
1682626147759000000,9.458,-40
