time,seconds_elapsed,dBFS
1682632624838000000,0.001000244140625,-160
1682632624880000000,0.043,-160
1682632624993000000,0.156,-160
1682632625111000000,0.274,-160
1682632625229000000,0.392,-160
1682632625349000000,0.512,-158
1682632625465000000,0.628,-133
1682632625583000000,0.746,-122
1682632625697000000,0.86,-20
1682632625813000000,0.976,-12
1682632625931000000,1.094,-7
1682632626050000000,1.212999755859375,-14
1682632626168000000,1.331,-10
1682632626283000000,1.446,-9
1682632626401000000,1.564,-10
1682632626518000000,1.681000244140625,-6
1682632626634000000,1.796999755859375,-7
1682632626752000000,1.915,-5
1682632626871000000,2.034,-7
1682632626984000000,2.147,-1
1682632627102000000,2.265000244140625,-5
1682632627219000000,2.382,-4
1682632627337000000,2.5,-8
1682632627454000000,2.617000244140625,-3
1682632627573000000,2.736,-4
1682632627689000000,2.852,-4
1682632627807000000,2.97,-12
1682632627925000000,3.088,-11
1682632628039000000,3.202,-7
1682632628157000000,3.32,-9
1682632628274000000,3.436999755859375,-12
1682632628391000000,3.554,-7
1682632628506000000,3.668999755859375,-6
1682632628631000000,3.794,-9
1682632628741000000,3.904,-10
1682632628860000000,4.023,-9
1682632628977000000,4.14,-10
1682632629094000000,4.257000244140625,-9
1682632629210000000,4.372999755859375,-9
1682632629328000000,4.491,-13
1682632629446000000,4.609000244140625,-8
1682632629562000000,4.724999755859375,-6
1682632629675000000,4.838,-4
1682632629780000000,4.943,-9
1682632629897000000,5.06,-7
1682632630014000000,5.177000244140625,-9
1682632630134000000,5.297000244140625,-8
1682632630250000000,5.412999755859375,-9
1682632630365000000,5.528,-8
1682632630484000000,5.647,-8
1682632630613000000,5.776,-8
1682632630717000000,5.88,-6
1682632630835000000,5.998,-6
1682632630952000000,6.115,-11
1682632631071000000,6.234,-12
1682632631187000000,6.35,-11
1682632631304000000,6.467,-7
1682632631421000000,6.584,-9
1682632631537000000,6.7,-12
1682632631654000000,6.817000244140625,-7
1682632631771000000,6.934,-6
1682632631888000000,7.051,-10
1682632632004000000,7.167,-12
1682632632122000000,7.284999755859375,-10
1682632632238000000,7.401000244140625,-10
1682632632355000000,7.518,-7
1682632632473000000,7.636,-10
1682632632592000000,7.755,-10
1682632632706000000,7.868999755859375,-10
1682632632826000000,7.988999755859375,-5
1682632632942000000,8.105000244140625,-11
1682632633058000000,8.220999755859374,-9
1682632633174000000,8.337000244140626,-10
1682632633292000000,8.455,-11
1682632633410000000,8.572999755859374,-10
1682632633527000000,8.69,-11
1682632633644000000,8.807,-10
1682632633762000000,8.924999755859375,-8
1682632633880000000,9.043,-10
1682632633998000000,9.161000244140626,-8
1682632634115000000,9.278,-5
1682632634234000000,9.396999755859374,-10
1682632634353000000,9.516,-7
